training_design,task,model,split,n,label_count,subset_accuracy,micro_f1,macro_f1,samples_f1,samples_jaccard,hamming_loss
expanded_8800_weak_train_verified_dev_test,record_level_event_multilabel_relevant_only,expanded_tfidf_word13_char36_ovr_linear_svc_multilabel,dev,631,11,0.386688,0.667950,0.622043,0.671920,0.598593,0.099409
expanded_8800_weak_train_verified_dev_test,record_level_event_multilabel_relevant_only,expanded_tfidf_word13_char36_ovr_linear_svc_multilabel,test,631,11,0.316957,0.633286,0.598366,0.614213,0.537292,0.110791
